Oversikt over snøskredulykker;;;;;http://www.varsom.no/Util/login.aspx?ReturnUrl=/varsomui;;;;http://tst-www.varsom.no/Util/login.aspx?ReturnUrl=%2fvarsomui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GULMERKET: Celler med døde eller ukjent involverte;;;;;;;;;Hei igjen;;totalt ant.;;;;;;;"S Sender,Søkestand, Spade
I Ingen
? Ukjent";;vedvarende svakt lag hvis dette er bekreftet. Ellers bruk flakskred om dette er kjent. Alt. Skavl, løssnøskred, ukjent;;;;;;;;;;;;;;;;
Blå kolonner skal vises i sesongliste på varsom. Røde er obligatoriske.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Døde;Skredtatte;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse;Involvert;"Skadet/
omkommet";"Totalt 
begravd";"Delvis
begravd";"Tatt, 
men ikke
 begravd";"Nære på,
 men ikke 
tatt";Najonalitet;"Alder
(-årene)";Skredutstyr;"Middels til 
mye erfaring";type skred;skred-størrelse;guide;;;;;;;;;;;;;;
03.11.19;0;1;Fots;M;Trollfjorden;Hadsel;Nord.;197638;;Skred rammet turfølge på 8 på ned fra Trollfjordhytta. En begravd og funnet etter 1 1/2 time, i live. Uvisst pr.nå om utløst av turfølget eller naturlig utløst.;8;;1;;;;norsk;;nei;;;;;;;;;;;;;;;;;;
27.10.19;0;0;Ski;M;Bjørndalstindan;Lyngen;Troms;197378;;Skiløperutløst str.2 tørt flakskred. Ingen tatt.;2;;;;;;;;;;;2;;;;;;;;;;;;;;;
03.06.19;0;0;Ski;N;Jiehkkevarri;Lyngen;Troms;196129;;Skiløperutløst str.2 tørt flakskred. Ingen skredtatte, men nære på. Sto på toppen av henget når det løsnet. ;2;;;;;2;;;;;;2;;;;;;;;;;;;;;;
23.05.19;0;1;Ski;N;Dirigenten;Svalabrd;Sval.;195465;;Skiløperutløst str.2 tørt flakskred. En skredtatt, ført med 60 m, kom seg selv ut. Ingen skader.;2;;;;1;;;;;;ja;2;;;;;;;;;;;;;;;
21.05.19;0;1;Ski;M;Hamperokken;Tromsø;Troms;195203;;Skiløperutløst str.2 vått løssnøskred. En skredtatt, ført 200 m ned med skredet, ingen skader.;1;;;;1;;;;;;;2;;;;;;;;;;;;;;;
18.05.19;0;1;Ski;M;Hesthamarvatnet;Tromsø;Troms;194979;;Skiløperutløst str. 2 vått løssnøskred. En skredtatt, ført med 50 m, delvis begravd. ;1;;;1;;;;;;;;2;;;;;;;;;;;;;;;
17.05.19;2;2;Ski;N;Kamkrona;Svalbard;Sval.;195053;;En kvinne og en mann fra Polen falt igjennom skavl og døde. Langt fall.;2;2;;;2;;polsk;30;ja;ja;skavl;0;;;;;;;;;;;;;;;
17.05.19;0;1;Ski;M;Skjomtinden;Narvik;Nord.;194861;;Skiløperutløst str.3 vått løssnøskred. En skredtatt. Kom seg løs, ingen skader. ;1;;;;1;;;;;;;3;;;;;;;;;;;;;;;
16.05.19;0;0;Ski;M;Ninavarden;Svalbard;Sval.;194911;;Skiløperutløst str. 2 tørt flakskred. Ingen tatt. ;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
12.05.19;0;0;Ski;M;Bjørndalstindan;Lyngen;Troms;194497;;Skiløperutløst str. 2 vått løssnøskred. Ingen tatt.;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
